11542,334,Fernite Carbide Composite Armor Plate,,,0,1,1,0,1,2,600,1,805
11543,334,Tungsten Carbide Armor Plate,,,0,1,1,0,1,4,600,1,802
11540,334,Quantum Microprocessor,,,0,1,1,0,1,1,4220,1,803
11541,334,Photon Microprocessor,,,0,1,1,0,1,8,4220,1,804
11547,334,Fusion Reactor Unit,,,0,1,1,0,1,8,17580,1,804
11544,334,Titanium Diborite Armor Plate,,,0,1,1,0,1,1,600,1,803
11545,334,Crystalline Carbonide Armor Plate,,,0,1,1,0,1,8,600,1,804
11548,334,Nuclear Reactor Unit,,,0,1,1,0,1,2,17580,1,805
11549,334,Antimatter Reactor Unit,,,0,1,1,0,1,4,17580,1,802
28999,907,Optimal Range,,,1,1,1,0,1,,12192,1,1094
19927,201,'Hypnos' Ion Field ECM I,,,0,0,5,0,1,,20000,1,715
19399,314,Confiscated Vitoc,,,0,800,0.5,0,1,,0,1,
19398,284,Confiscated Viral Agent,,,0,100,0.5,0,1,,0,1,22
28566,136,Khanid Navy Heavy Assault Missile Launcher Blueprint,,,0,0,0.01,0,1,,300000,1,
31589,787,Medium Bay Loading Accelerator I Blueprint,,,0,0,0.01,0,1,,750000,1,1262
27371,384,Caldari Navy Flameburst Light Missile,,191,300,700,0.015,0,100,,624,1,998
27373,386,Guristas Paradise Cruise Missile,,182,300,1250,0.05,0,100,,15000,1,1001
27375,384,Dread Guristas Piranha Light Missile,,193,300,700,0.015,0,100,,370,1,998
27377,386,Caldari Navy Paradise Cruise Missile,,182,300,1250,0.05,0,100,,15000,1,1001
27379,384,Guristas Piranha Light Missile,,193,300,700,0.015,0,100,,370,1,998
28560,163,Khanid Navy Thermic Plating Blueprint,,,0,0,0.01,0,1,,0,1,
28996,314,Fraudulent Pax Amarria,,,0,1,0.1,0,1,,3328,1,
25288,661,Standard Sooth Sayer Booster Reaction,,,0,0,1,0,1,,0,1,981
25289,662,Improved Crash Booster Reaction,,,0,0,1,0,1,,0,1,982
25286,661,Standard Mindflood Booster Reaction,,,0,0,1,0,1,,0,1,981
25287,661,Standard X-Instinct Booster Reaction,,,0,0,1,0,1,,0,1,981
25284,661,Standard Drop Booster Reaction,,,0,0,1,0,1,,0,1,981
25285,661,Standard Exile Booster Reaction,,,0,0,1,0,1,,0,1,981
25282,662,Strong Blue Pill Booster Reaction,,,0,0,1,0,1,,0,1,982
25283,712,Pure Strong Blue Pill Booster,,,0,0,1,0,1,,0,1,984
25280,404,Hazardous Chemical Silo,,2598,907,1000000,4000,20000,1,,25000000,1,483
25281,474,The Red Card,,,0,1,0.1,0,1,,0,1,
16253,283,Minmatar Emissary,,,0,70,0.1,0,1,,0,1,
19972,83,Arch Angel Nuclear S,,1288,1,0.01,0.0025,0,100,,1000,1,989
19970,83,Arch Angel Carbonized Lead S,,1308,1,0.01,0.0025,0,100,,1000,1,989
19976,83,Arch Angel Depleted Uranium S,,1285,1,0.01,0.0025,0,100,,1000,1,989
19974,83,Arch Angel Proton S,,1290,1,0.01,0.0025,0,100,,1000,1,989
19978,86,Sanshas Radio S,,1145,1,1,1,0,1,,4000,1,997
31734,774,Small Anti-Explosive Screen Reinforcer II,,,100,200,5,0,1,,0,1,1234
