"stationID","security","dockingCostPerVolume","maxShipVolumeDockable","officeRentalCost","operationID","stationTypeID","corporationID","solarSystemID","constellationID","regionID","stationName","x","y","z","reprocessingEfficiency","reprocessingStationsTake","reprocessingHangarFlag"
"60000004","500","0.0","50000000.0","10000","26","1531","1000002","30002780","20000407","10000033","Muvolailen X - Moon 3 - CBD Corporation Storage","1723680890880.0","256414064640.0","-60755435520.0","0.5","0.05","4"
"60000007","500","0.0","50000000.0","10000","26","1531","1000002","30002779","20000407","10000033","Ono V - Moon 9 - CBD Corporation Storage","-640881254400.0","-65580441600.0","-506471424000.0","0.5","0.05","4"
"60000010","500","0.0","50000000.0","10000","26","1531","1000002","30002776","20000407","10000033","Annaro I - CBD Corporation Storage","2234081280.0","327966720.0","35834142720.0","0.5","0.05","4"
"60000013","500","0.0","50000000.0","10000","26","1531","1000002","30002779","20000407","10000033","Ono V - Moon 2 - CBD Corporation Storage","-640134881280.0","-65504993280.0","-507244339200.0","0.5","0.05","4"
"60000016","500","0.0","50000000.0","10000","26","1531","1000002","30002778","20000407","10000033","Tasabeshi VIII - Moon 13 - CBD Corporation Storage","-5865870581760.0","-654233640960.0","2584889794560.0","0.5","0.05","4"
"60000019","500","0.0","50000000.0","10000","26","1531","1000002","30002778","20000407","10000033","Tasabeshi VI - Moon 1 - CBD Corporation Storage","-701220986880.0","-78208819200.0","1824795402240.0","0.5","0.05","4"
"60000022","500","0.0","50000000.0","10000","26","1531","1000002","30002650","20000388","10000032","Ney X - Moon 15 - CBD Corporation Storage","1237879480320.0","10972569600.0","7508090880.0","0.5","0.05","4"
"60000025","500","0.0","50000000.0","10000","26","1531","1000002","30002648","20000388","10000032","Ardene VIII - Moon 5 - CBD Corporation Storage","2035178741760.0","-405832949760.0","735734538240.0","0.5","0.05","4"
"60000028","500","0.0","50000000.0","10000","26","1531","1000002","30002654","20000388","10000032","Schoorasana VI - Moon 1 - CBD Corporation Storage","-946854666240.0","-170430013440.0","694899548160.0","0.5","0.05","4"
"60000031","500","0.0","50000000.0","10000","26","1531","1000002","30002654","20000388","10000032","Schoorasana VI - Moon 6 - CBD Corporation Storage","-947635937280.0","-170569605120.0","694779863040.0","0.5","0.05","4"
"60000034","500","0.0","50000000.0","10000","26","1531","1000002","30002648","20000388","10000032","Ardene VI - Moon 12 - CBD Corporation Storage","335164907520.0","-66834554880.0","387371704320.0","0.5","0.05","4"
"60000037","500","0.0","50000000.0","10000","26","1531","1000002","30002650","20000388","10000032","Ney X - Moon 12 - CBD Corporation Storage","1238247628800.0","10976993280.0","2682347520.0","0.5","0.05","4"
"60000040","500","0.0","50000000.0","10000","26","1531","1000002","30003393","20000495","10000042","Eiluvodi VI - Moon 14 - CBD Corporation Storage","-1108065853440.0","37901721600.0","399274598400.0","0.5","0.05","4"
"60000043","500","0.0","50000000.0","10000","26","1531","1000002","30003393","20000495","10000042","Eiluvodi VIII - Moon 2 - CBD Corporation Storage","3163545231360.0","-108197928960.0","-3690952826880.0","0.5","0.05","4"
"60000046","500","0.0","50000000.0","10000","26","1531","1000002","30003399","20000495","10000042","Vorsk IV - Moon 1 - CBD Corporation Storage","-105891962880.0","18134016000.0","-64060416000.0","0.5","0.05","4"
"60000049","500","0.0","50000000.0","10000","26","1531","1000002","30003397","20000495","10000042","Bongveber IX - Moon 10 - CBD Corporation Storage","-261978562560.0","-44508979200.0","581469020160.0","0.5","0.05","4"
"60000052","500","0.0","50000000.0","10000","26","1531","1000002","30003395","20000495","10000042","Roleinn X - Moon 13 - CBD Corporation Storage","991590604800.0","-51580477440.0","2064394444800.0","0.5","0.05","4"
"60000055","500","0.0","50000000.0","10000","26","1531","1000002","30003394","20000495","10000042","Freatlidur IX - Moon 15 - CBD Corporation Storage","-2267215994880.0","108494069760.0","2340726251520.0","0.5","0.05","4"
"60000058","500","0.0","50000000.0","10000","26","1531","1000002","30003082","20000450","10000038","Hatori X - Moon 12 - CBD Corporation Storage","-1699735511040.0","146663301120.0","825273753600.0","0.5","0.05","4"
"60000061","500","0.0","50000000.0","10000","26","1531","1000002","30003084","20000450","10000038","Malpara II - CBD Corporation Storage","-68915404800.0","-1358684160.0","73023774720.0","0.5","0.05","4"
"60000064","500","0.0","50000000.0","10000","26","1531","1000002","30003082","20000450","10000038","Hatori X - Moon 10 - CBD Corporation Storage","-1700332707840.0","146714910720.0","826992107520.0","0.5","0.05","4"
"60000067","500","0.0","50000000.0","10000","26","1531","1000002","30003081","20000450","10000038","Ronne I - Moon 1 - CBD Corporation Storage","4826357760.0","-225484800.0","-108262563840.0","0.5","0.05","4"
"60000070","500","0.0","50000000.0","10000","26","1531","1000002","30003082","20000450","10000038","Hatori IX - Moon 8 - CBD Corporation Storage","121209692160.0","-10458193920.0","-838286499840.0","0.5","0.05","4"
"60000073","500","0.0","50000000.0","10000","26","1531","1000002","30003083","20000450","10000038","Junsen V - Moon 20 - CBD Corporation Storage","2160797982720.0","414495989760.0","-1123305185280.0","0.5","0.05","4"
"60000076","500","0.0","50000000.0","10000","26","1531","1000002","30002414","20000355","10000028","Klingt VII - Moon 2 - CBD Corporation Storage","-337193902080.0","63504506880.0","-289445683200.0","0.5","0.05","4"
"60000079","500","0.0","50000000.0","10000","26","1531","1000002","30002415","20000355","10000028","Weld IV - Moon 14 - CBD Corporation Storage","-972277309440.0","13201367040.0","1525280808960.0","0.5","0.05","4"
"60000082","500","0.0","50000000.0","10000","26","1531","1000002","30002414","20000355","10000028","Klingt IV - Moon 1 - CBD Corporation Storage","92901335040.0","-17496023040.0","110818959360.0","0.5","0.05","4"
"60000085","500","0.0","50000000.0","10000","26","1531","1000002","30002420","20000355","10000028","Egbinger XI - Moon 3 - CBD Corporation Storage","-352724951040.0","-70727147520.0","1370689413120.0","0.5","0.05","4"
"60000088","500","0.0","50000000.0","10000","26","1531","1000002","30002414","20000355","10000028","Klingt V - CBD Corporation Storage","-38781788160.0","7309762560.0","-208769802240.0","0.5","0.05","4"
"60000091","500","0.0","50000000.0","10000","26","1531","1000002","30002414","20000355","10000028","Klingt IX - Moon 3 - CBD Corporation Storage","641821040640.0","-120874475520.0","1055101132800.0","0.5","0.05","4"
"60000094","500","0.0","50000000.0","10000","26","1531","1000002","30003429","20000500","10000042","Geffur VIII - Moon 10 - CBD Corporation Storage","-376667136000.0","-34467962880.0","1304583413760.0","0.5","0.05","4"
"60000097","500","0.0","50000000.0","10000","26","1531","1000002","30003432","20000500","10000042","Lumegen V - Moon 2 - CBD Corporation Storage","-59621744640.0","-6001090560.0","-671180513280.0","0.5","0.05","4"
"60000100","500","0.0","50000000.0","10000","26","1531","1000002","30003430","20000500","10000042","Oppold IX - Moon 6 - CBD Corporation Storage","-4403514040320.0","-498863923200.0","2968522137600.0","0.5","0.05","4"
"60000103","500","0.0","50000000.0","10000","26","1531","1000002","30003432","20000500","10000042","Lumegen I - CBD Corporation Storage","-39094640640.0","-3935723520.0","-63403991040.0","0.5","0.05","4"
"60000106","500","0.0","50000000.0","10000","26","1531","1000002","30003430","20000500","10000042","Oppold IV - Moon 1 - CBD Corporation Storage","-118070845440.0","-13375856640.0","-202273136640.0","0.5","0.05","4"
"60000109","500","0.0","50000000.0","10000","26","1531","1000002","30003429","20000500","10000042","Geffur VII - Moon 3 - CBD Corporation Storage","561277378560.0","51362734080.0","-547152814080.0","0.5","0.05","4"
"60000112","500","0.0","50000000.0","10000","26","1531","1000002","30005001","20000732","10000064","Arnon VIII - Moon 2 - CBD Corporation Storage","-259453132800.0","-3006013440.0","-316619120640.0","0.5","0.05","4"
"60000115","500","0.0","50000000.0","10000","26","1531","1000002","30005003","20000732","10000064","Adirain V - Moon 4 - CBD Corporation Storage","55648788480.0","10898104320.0","-502882590720.0","0.5","0.05","4"
"60000118","500","0.0","50000000.0","10000","26","1531","1000002","30005004","20000732","10000064","Attyn V - Moon 2 - CBD Corporation Storage","1630383759360.0","218044784640.0","1114428825600.0","0.5","0.05","4"
"60000121","500","0.0","50000000.0","10000","26","1531","1000002","30005007","20000732","10000064","Lisbaetanne I - CBD Corporation Storage","33754521600.0","-1452072960.0","-52854251520.0","0.5","0.05","4"
"60000124","500","0.0","50000000.0","10000","26","1531","1000002","30005001","20000732","10000064","Arnon XII - CBD Corporation Storage","2625060003840.0","30402109440.0","-3254444482560.0","0.5","0.05","4"
"60000127","500","0.0","50000000.0","10000","26","1531","1000002","30005001","20000732","10000064","Arnon X - Moon 8 - CBD Corporation Storage","-1071703941120.0","-12411494400.0","-106688962560.0","0.5","0.05","4"
"60000130","500","0.0","50000000.0","10000","26","1531","1000002","30004250","20000622","10000054","Chibi VI - Moon 13 - CBD Corporation Storage","-82122547200.0","8119050240.0","545027235840.0","0.5","0.05","4"
"60000133","500","0.0","50000000.0","10000","26","1531","1000002","30004253","20000622","10000054","Pahineh VII - Moon 9 - CBD Corporation Storage","794193223680.0","-9298944000.0","218087546880.0","0.5","0.05","4"
"60000136","500","0.0","50000000.0","10000","26","1531","1000002","30004249","20000622","10000054","Avada II - CBD Corporation Storage","77468835840.0","12991979520.0","34781306880.0","0.5","0.05","4"
"60000139","500","0.0","50000000.0","10000","26","1531","1000002","30004248","20000622","10000054","Haimeh IX - Moon 4 - CBD Corporation Storage","-1456338001920.0","202727055360.0","636877578240.0","0.5","0.05","4"
"60000142","500","0.0","50000000.0","10000","26","1531","1000002","30004250","20000622","10000054","Chibi VIII - Moon 21 - CBD Corporation Storage","-736036331520.0","72757862400.0","-1866394460160.0","0.5","0.05","4"
"60000145","500","0.0","50000000.0","10000","26","1531","1000002","30004248","20000622","10000054","Haimeh II - CBD Corporation Storage","-55428833280.0","7716495360.0","-27634851840.0","0.5","0.05","4"
"60000148","500","0.0","50000000.0","10000","26","1531","1000002","30002513","20000368","10000030","Dammalin VI - CBD Corporation Storage","189263093760.0","25911091200.0","-1332314480640.0","0.5","0.05","4"
"60000151","500","0.0","50000000.0","10000","26","1531","1000002","30002517","20000368","10000030","Gulmorogod VI - Moon 4 - CBD Corporation Storage","-96244654080.0","19418112000.0","356422164480.0","0.5","0.05","4"
"60000154","500","0.0","50000000.0","10000","26","1531","1000002","30002515","20000368","10000030","Olfeim V - Moon 3 - CBD Corporation Storage","-663907491840.0","35747389440.0","612626718720.0","0.5","0.05","4"
"60000157","500","0.0","50000000.0","10000","26","1531","1000002","30002517","20000368","10000030","Gulmorogod VIII - Moon 25 - CBD Corporation Storage","212856545280.0","-42946682880.0","1496815411200.0","0.5","0.05","4"
"60000160","500","0.0","50000000.0","10000","26","1531","1000002","30002512","20000368","10000030","Alakgur VIII - Moon 2 - CBD Corporation Storage","-207847464960.0","9396756480.0","-897363517440.0","0.5","0.05","4"
"60000163","500","0.0","50000000.0","10000","26","1531","1000002","30002512","20000368","10000030","Alakgur IX - Moon 9 - CBD Corporation Storage","1472972021760.0","-66592235520.0","1280668016640.0","0.5","0.05","4"
"60000166","500","0.0","50000000.0","10000","26","1531","1000002","30004295","20000627","10000054","Keba II - CBD Corporation Storage","79254773760.0","-14926848000.0","-78418206720.0","0.5","0.05","4"
"60000169","500","0.0","50000000.0","10000","26","1531","1000002","30004293","20000627","10000054","Pserz VIII - Moon 3 - CBD Corporation Storage","311143833600.0","57304965120.0","182119342080.0","0.5","0.05","4"
"60000172","500","0.0","50000000.0","10000","26","1531","1000002","30004292","20000627","10000054","Soza XII - Moon 14 - CBD Corporation Storage","-116559667200.0","8914083840.0","1347375882240.0","0.5","0.05","4"
"60000175","500","0.0","50000000.0","10000","26","1531","1000002","30004293","20000627","10000054","Pserz XII - Moon 4 - CBD Corporation Storage","859130388480.0","158230978560.0","3032176680960.0","0.5","0.05","4"
"60000178","500","0.0","50000000.0","10000","26","1531","1000002","30004289","20000627","10000054","Vaini III - CBD Corporation Storage","-304149749760.0","11314913280.0","529120665600.0","0.5","0.05","4"
"60000181","500","0.0","50000000.0","10000","26","1531","1000002","30004295","20000627","10000054","Keba IX - Moon 1 - CBD Corporation Storage","275792486400.0","-51945922560.0","-2300021022720.0","0.5","0.05","4"
"60000184","500","0.0","50000000.0","10000","26","1531","1000002","30001673","20000247","10000020","Shesha III - CBD Corporation Storage","267603763200.0","49604567040.0","-184447426560.0","0.5","0.05","4"
"60000187","500","0.0","50000000.0","10000","26","1531","1000002","30001674","20000247","10000020","Hilaban VI - Moon 1 - CBD Corporation Storage","5589312675840.0","-1041337589760.0","-391955128320.0","0.5","0.05","4"
"60000190","500","0.0","50000000.0","10000","26","1531","1000002","30001674","20000247","10000020","Hilaban IV - Moon 5 - CBD Corporation Storage","2270379417600.0","-422991421440.0","3396018216960.0","0.5","0.05","4"
"60000193","500","0.0","50000000.0","10000","26","1531","1000002","30001674","20000247","10000020","Hilaban III - Moon 3 - CBD Corporation Storage","-195922452480.0","36502855680.0","1291398881280.0","0.5","0.05","4"
"60000196","500","0.0","50000000.0","10000","26","1531","1000002","30001669","20000247","10000020","Pimebeka VIII - Moon 9 - CBD Corporation Storage","-1674345553920.0","315552768000.0","-303405342720.0","0.5","0.05","4"
"60000199","500","0.0","50000000.0","10000","26","1531","1000002","30001674","20000247","10000020","Hilaban VIII - Moon 1 - CBD Corporation Storage","8383854305280.0","-1561984573440.0","672309780480.0","0.5","0.05","4"
"60000202","500","0.0","50000000.0","10000","26","1531","1000002","30005032","20000736","10000065","Khabara VII - Moon 15 - CBD Corporation Storage","1226881966080.0","-18322759680.0","673251287040.0","0.5","0.05","4"
"60000205","500","0.0","50000000.0","10000","26","1531","1000002","30005031","20000736","10000065","Nebian II - CBD Corporation Storage","67616071680.0","-8097177600.0","136722309120.0","0.5","0.05","4"
"60000208","500","0.0","50000000.0","10000","26","1531","1000002","30005035","20000736","10000065","Ami V - Moon 1 - CBD Corporation Storage","157567918080.0","-1332879360.0","143147458560.0","0.5","0.05","4"
"60000211","500","0.0","50000000.0","10000","26","1531","1000002","30005035","20000736","10000065","Ami VI - CBD Corporation Storage","-256810721280.0","2169692160.0","146786918400.0","0.5","0.05","4"
"60000214","500","0.0","50000000.0","10000","26","1531","1000002","30005030","20000736","10000065","Fensi VI - Moon 10 - CBD Corporation Storage","42554204160.0","-5570273280.0","-588935208960.0","0.5","0.05","4"
"60000217","500","0.0","50000000.0","10000","26","1531","1000002","30005035","20000736","10000065","Ami VII - Moon 1 - CBD Corporation Storage","241435238400.0","-2042388480.0","-459262648320.0","0.5","0.05","4"
"60000220","500","0.0","50000000.0","10000","26","1531","1000002","30001729","20000256","10000020","Sinid VI - CBD Corporation Storage","981053153280.0","-126866595840.0","430000005120.0","0.5","0.05","4"
"60000223","500","0.0","50000000.0","10000","26","1531","1000002","30001732","20000256","10000020","Zith IX - Moon 2 - CBD Corporation Storage","850011709440.0","-66729615360.0","3062612090880.0","0.5","0.05","4"
"60000226","500","0.0","50000000.0","10000","26","1531","1000002","30001731","20000256","10000020","Ilas V - Moon 1 - CBD Corporation Storage","-60725698560.0","11157626880.0","-187898388480.0","0.5","0.05","4"
"60000229","500","0.0","50000000.0","10000","26","1531","1000002","30001733","20000256","10000020","Tew IX - Moon 9 - CBD Corporation Storage","-697901998080.0","100861992960.0","-1691182080000.0","0.5","0.05","4"
"60000232","500","0.0","50000000.0","10000","26","1531","1000002","30001729","20000256","10000020","Sinid VI - Moon 2 - CBD Corporation Storage","981105008640.0","-126874214400.0","429750558720.0","0.5","0.05","4"
"60000235","500","0.0","50000000.0","10000","26","1531","1000002","30001731","20000256","10000020","Ilas VII - Moon 10 - CBD Corporation Storage","431192432640.0","-79226265600.0","-291134545920.0","0.5","0.05","4"
"60000238","500","0.0","50000000.0","10000","26","1531","1000002","30004102","20000599","10000052","Inis-Ilix V - CBD Corporation Storage","-522115276800.0","-44427878400.0","-15786762240.0","0.5","0.05","4"
